Title,Conference,Type,Application,MLTech,OpenReviewLink
Efficiently Democratizing Medical LLMs for 50 Languages via a Mixture of Language Family Experts,ICLR_2025,Poster,Healthcare,,https://openreview.net/forum?id=JSB171dSUU
Efficient Masked AutoEncoder for Video Object Counting and A Large-Scale Benchmark,ICLR_2025,Poster,Biology,,https://openreview.net/forum?id=sY3anJ8C68
Efficient Neuron Segmentation in Electron Microscopy by Affinity-Guided Queries,ICLR_2025,Poster,Biology,,https://openreview.net/forum?id=Y0QqruhqIa
E(3)-Equivariant Topological Neural Networks,ICLR_2025,Poster,Chemistry,Geometric_Deep_Learning,https://openreview.net/forum?id=Ax3uliEBVR
Energy-Based Diffusion Language Models for Text Generation,ICLR_2025,Poster,General,Diffusion_Model,https://openreview.net/forum?id=sL2F9YCMXf
Enhanced Diffusion Sampling via Extrapolation with Multiple ODE Solutions,ICLR_2025,Poster,General,Diffusion_Model,https://openreview.net/forum?id=rCGleSgNBK
Enhancing the Scalability and Applicability of Kohn-Sham Hamiltonians for Molecular Systems,ICLR_2025,Poster,Chemistry,Neural_Network,https://openreview.net/forum?id=twEvvkQqPS
Estimation of single-cell and tissue perturbation effect in spatial transcriptomics via Spatial Causal Disentanglement,ICLR_2025,Poster,Biology,Graph_Neural_Network,https://openreview.net/forum?id=Tqdsruwyac
EVAC: Extreme Risk Mitigation in Reinforcement Learning using Extreme Value Theory,ICLR_2025,Poster,Earth_Sciences,Reinforcement_Learning,https://openreview.net/forum?id=098mb06uhA
FaceShot: Bring Any Character into Life,ICLR_2025,Poster,Healthcare,Diffusion_Model,https://openreview.net/forum?id=oJA1GUqRww
Factor Graph-based Interpretable Neural Networks,ICLR_2025,Poster,General,,https://openreview.net/forum?id=10DtLPsdro
Flow Matching with Gaussian Process Priors for Probabilistic Time Series Forecasting,ICLR_2025,Poster,Earth_Sciences,Diffusion_Model,https://openreview.net/forum?id=uxVBbSlKQ4
Flow Matching with General Discrete Paths: A Kinetic-Optimal Perspective,ICLR_2025,Poster,Chemistry,Diffusion_Model,https://openreview.net/forum?id=tcvMzR2NrP
FreeCG: Free the Design Space of Clebsch-Gordan Transform for Machine Learning Force Fields,ICLR_2025,Poster,Materials,Geometric_Deep_Learning,https://openreview.net/forum?id=sfi2j1Ot6j
Gaussian Mixture Counterfactual Generator,ICLR_2025,Poster,Healthcare,Generative_Model,https://openreview.net/forum?id=lBB3eSn6fY
Generative Flows on Synthetic Pathway for Drug Design,ICLR_2025,Poster,Chemistry,Generative_Model,https://openreview.net/forum?id=pB1XSj2y4X
Generalization and Distributed Learning of GFlowNets,ICLR_2025,Poster,Chemistry,Generative_Model,https://openreview.net/forum?id=PJNhZoCjLh
Generalization in VAE and Diffusion Models: A Unified Information-Theoretic Analysis,ICLR_2025,Poster,General,Diffusion_Model,https://openreview.net/forum?id=NGB6YNnO5o
Generating CAD Code with Vision-Language Models for 3D Designs,ICLR_2025,Poster,Materials,Language_Model,https://openreview.net/forum?id=BLWaTeucYX
Generating Graphs via Spectral Diffusion,ICLR_2025,Poster,Chemistry,Diffusion_Model,https://openreview.net/forum?id=AAXBfJNHDt
CarbonSense: A Multimodal Dataset and Baseline for Carbon Flux Modelling,ICLR_2025,Poster,Earth_Sciences,Transformer,https://openreview.net/forum?id=l8zRnvD95l
CBGBench: Fill in the Blank of Protein-Molecule Complex Binding Graph,ICLR_2025,Poster,Biology,Generative_Model,https://openreview.net/forum?id=mOpNrrV2zH
CheapNet: Cross-attention on Hierarchical representations for Efficient protein-ligand binding Affinity Prediction,ICLR_2025,Poster,Chemistry,Neural_Network,https://openreview.net/forum?id=A1HhtITVEi
ChemAgent: Self-updating Memories in Large Language Models Improves Chemical Reasoning,ICLR_2025,Poster,Chemistry,Transformer,https://openreview.net/forum?id=kuhIqeVg0e
Chemistry-Inspired Diffusion with Non-Differentiable Guidance,ICLR_2025,Poster,Chemistry,Diffusion_Model,https://openreview.net/forum?id=4dAgG8ma3B
CirT: Global Subseasonal-to-Seasonal Forecasting with Geometry-inspired Transformer,ICLR_2025,Poster,Earth_Sciences,Transformer,https://openreview.net/forum?id=YslOW2SO6S
CL-MFAP: A Contrastive Learning-Based Multimodal Foundation Model for Molecular Property Prediction and Antibiotic Screening,ICLR_2025,Poster,Biology,Transformer,https://openreview.net/forum?id=fv9XU7CyN2
Compositional simulation-based inference for time series,ICLR_2025,Poster,General,Neural_Network,https://openreview.net/forum?id=uClUUJk05S
Concept Bottleneck Protein Language Models For Protein Design,ICLR_2025,Poster,Biology,Transformer,https://openreview.net/forum?id=Yt9CFhOOFe
CFD: Learning Generalized Molecular Representation via Concept-Enhanced  Feedback Disentanglement,ICLR_2025,Poster,Chemistry,Neural_Network,https://openreview.net/forum?id=CsOIYMOZaV
