Title,Conference,Type,Application,MLTech,OpenReviewLink
Physics-Informed Neural Networks for Functional Differential Equations: Cylindrical Approximation and Its Convergence Guarantees,NeurIPS_2024,Poster,Math,neural_network,https://openreview.net/forum?id=H5z0XqEX57
Physics-Informed Regularization for Domain-Agnostic Dynamical System Modeling,NeurIPS_2024,Poster,Physics,neural_network,https://openreview.net/forum?id=iWlqbNE8P7
Physics-Informed Variational State-Space Gaussian Processes,NeurIPS_2024,Poster,Physics,gaussian_process,https://openreview.net/forum?id=tCf7S75xFa
Physics-Regularized Multi-Modal Image Assimilation for Brain Tumor Localization,NeurIPS_2024,Poster,Medical_healthcare,neural_network,https://openreview.net/forum?id=YfVMcbcDqo
PINNacle: A Comprehensive Benchmark of Physics-Informed Neural Networks for Solving PDEs,NeurIPS_2024,Poster,Physics,neural_network,https://openreview.net/forum?id=aekfb95slj
Poseidon: Efficient Foundation Models for PDEs,NeurIPS_2024,Poster,Physics,transformer,https://openreview.net/forum?id=JC1VKK3UXk
PowerPM: Foundation Model for Power Systems,NeurIPS_2024,Poster,Physics,transformer,https://openreview.net/forum?id=JInTfcxH3Q
Precipitation Downscaling with Spatiotemporal Video Diffusion,NeurIPS_2024,Poster,Earth_climate,diffusion_model,https://openreview.net/forum?id=hhnkH8ex5d
Predicting Future Actions of Reinforcement Learning Agents,NeurIPS_2024,Poster,Math,,https://openreview.net/forum?id=QgaGs7peYe
Predicting Ground State Properties: Constant Sample Complexity and Deep Learning Algorithms,NeurIPS_2024,Poster,Physics,neural_network,https://openreview.net/forum?id=ybLXvqJyQA
Pretraining Codomain Attention Neural Operators for Solving Multiphysics PDEs,NeurIPS_2024,Poster,Physics,transformer,https://openreview.net/forum?id=wSpIdUXZYX
Principled Probabilistic Imaging using Diffusion Models as Plug-and-Play Priors,NeurIPS_2024,Poster,Physics,diffusion_model,https://openreview.net/forum?id=Xq9HQf7VNV
Probabilistic Weather Forecasting with Hierarchical Graph Neural Networks,NeurIPS_2024,Poster,Earth_climate,graph_neural_network,https://openreview.net/forum?id=wTIzpqX121
Probablistic Emulation of a Global Climate Model with Spherical DYffusion,NeurIPS_2024,Poster,Earth_climate,diffusion_model,https://openreview.net/forum?id=Ib2iHIJRTh
Propensity Score Alignment of Unpaired Multimodal Data,NeurIPS_2024,Poster,Biology,neural_network,https://openreview.net/forum?id=hT4y7D2o2T
